ID,PIN,Signal,Signal.1,Probe,INICIAL,TYPE,PORCENT,Barrel
C101:,    Pin:1, Signal:5V, Orig_Signal:5V, Probed,C,CAP,0,0
C101:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C102:,    Pin:1, Signal:N12V_A, Orig_Signal:-12V_A, Probed,C,CAP,0,0
C102:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C201:,    Pin:1, Signal:NetC201_1, Orig_Signal:NetC201_1, Probed,C,CAP,0,0
C201:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C202:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C202:,    Pin:2, Signal:CP, Orig_Signal:CP, Probed,C,CAP,0,0
C203:,    Pin:2, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,0,0
C203:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C301:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C301:,    Pin:1, Signal:NetC301_1, Orig_Signal:NetC301_1, NotProbed,C,CAP,0,0
C302:,    Pin:2, Signal:NetC301_1, Orig_Signal:NetC301_1, NotProbed,C,CAP,0,0
C302:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C303:,    Pin:2, Signal:NetC303_2, Orig_Signal:NetC303_2, NotProbed,C,CAP,0,0
C303:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C304:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C304:,    Pin:1, Signal:NetC303_2, Orig_Signal:NetC303_2, NotProbed,C,CAP,0,0
C305:,    Pin:1, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,0,0
C305:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C306:,    Pin:1, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,0,0
C306:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C307:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C307:,    Pin:1, Signal:NetC307_1, Orig_Signal:NetC307_1, NotProbed,C,CAP,0,0
C308:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C308:,    Pin:1, Signal:NRST, Orig_Signal:NRST, Probed,C,CAP,0,0
C309:,    Pin:1, Signal:NetC309_1, Orig_Signal:NetC309_1, NotProbed,C,CAP,0,0
C309:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C310:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C310:,    Pin:1, Signal:NetC310_1, Orig_Signal:NetC310_1, NotProbed,C,CAP,0,0
C311:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C311:,    Pin:1, Signal:NetC311_1, Orig_Signal:NetC311_1, NotProbed,C,CAP,0,0
C312:,    Pin:1, Signal:NetC301_1, Orig_Signal:NetC301_1, NotProbed,C,CAP,0,0
C312:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C313:,    Pin:1, Signal:NetC303_2, Orig_Signal:NetC303_2, NotProbed,C,CAP,0,0
C313:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C314:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C314:,    Pin:2, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,0,0
C315:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C315:,    Pin:2, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,0,0
C316:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C316:,    Pin:2, Signal:HALO_BYPASS, Orig_Signal:HALO_BYPASS, Probed,C,CAP,0,0
C317:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,0,0
C317:,    Pin:1, Signal:NetC309_1, Orig_Signal:NetC309_1, NotProbed,C,CAP,0,0
C401:,    Pin:1, Signal:NetC401_1, Orig_Signal:NetC401_1, NotProbed,C,CAP,0,0
