ID,PIN,Signal,Signal.1,Probe,INICIAL,TYPE,PORCENT,Barrel,SURFACE,TEST
C101:,    Pin:1, Signal:5V, Orig_Signal:5V, Probed,C,CAP,,100, BOTTOM,Fail
C101:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C102:,    Pin:1, Signal:N12V_A, Orig_Signal:-12V_A, Probed,C,CAP,,100, TOP,Fail
C102:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C201:,    Pin:1, Signal:NetC201_1, Orig_Signal:NetC201_1, Probed,C,CAP,,75, BOTTOM,Fail
C201:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C202:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C202:,    Pin:2, Signal:CP, Orig_Signal:CP, Probed,C,CAP,100.0,100, BOTTOM,Pass
C203:,    Pin:2, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,,100, TOP,Fail
C203:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C301:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C301:,    Pin:1, Signal:NetC301_1, Orig_Signal:NetC301_1, NotProbed,C,CAP,50.0,0,0,Fail
C302:,    Pin:2, Signal:NetC301_1, Orig_Signal:NetC301_1, NotProbed,C,CAP,,0,0,Fail
C302:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C303:,    Pin:2, Signal:NetC303_2, Orig_Signal:NetC303_2, NotProbed,C,CAP,,0,0,Fail
C303:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C304:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C304:,    Pin:1, Signal:NetC303_2, Orig_Signal:NetC303_2, NotProbed,C,CAP,50.0,0,0,Fail
C305:,    Pin:1, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,,100, TOP,Fail
C305:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C306:,    Pin:1, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,,100, TOP,Fail
C306:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C307:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C307:,    Pin:1, Signal:NetC307_1, Orig_Signal:NetC307_1, NotProbed,C,CAP,50.0,0,0,Fail
C308:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C308:,    Pin:1, Signal:NRST, Orig_Signal:NRST, Probed,C,CAP,100.0,100, TOP,Pass
C309:,    Pin:1, Signal:NetC309_1, Orig_Signal:NetC309_1, NotProbed,C,CAP,,0,0,Fail
C309:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C310:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C310:,    Pin:1, Signal:NetC310_1, Orig_Signal:NetC310_1, NotProbed,C,CAP,50.0,0,0,Fail
C311:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C311:,    Pin:1, Signal:NetC311_1, Orig_Signal:NetC311_1, NotProbed,C,CAP,50.0,0,0,Fail
C312:,    Pin:1, Signal:NetC301_1, Orig_Signal:NetC301_1, NotProbed,C,CAP,,0,0,Fail
C312:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C313:,    Pin:1, Signal:NetC303_2, Orig_Signal:NetC303_2, NotProbed,C,CAP,,0,0,Fail
C313:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C314:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C314:,    Pin:2, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,100.0,100, TOP,Pass
C315:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C315:,    Pin:2, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,100.0,100, TOP,Pass
C316:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C316:,    Pin:2, Signal:HALO_BYPASS, Orig_Signal:HALO_BYPASS, Probed,C,CAP,100.0,100, BOTTOM,Pass
C317:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C317:,    Pin:1, Signal:NetC309_1, Orig_Signal:NetC309_1, NotProbed,C,CAP,50.0,0,0,Fail
C401:,    Pin:1, Signal:NetC401_1, Orig_Signal:NetC401_1, NotProbed,C,CAP,,0,0,Fail
C401:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C402:,    Pin:1, Signal:NetC401_1, Orig_Signal:NetC401_1, NotProbed,C,CAP,,0,0,Fail
C402:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C403:,    Pin:2, Signal:NetC403_2, Orig_Signal:NetC403_2, NotProbed,C,CAP,,0,0,Fail
C403:,    Pin:1, Signal:NetC403_1, Orig_Signal:NetC403_1, NotProbed,C,CAP,,0,0,Fail
C404:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C404:,    Pin:1, Signal:NetC404_1, Orig_Signal:NetC404_1, NotProbed,C,CAP,50.0,0,0,Fail
C405:,    Pin:1, Signal:NetC404_1, Orig_Signal:NetC404_1, NotProbed,C,CAP,,0,0,Fail
C405:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C501:,    Pin:2, Signal:NetC501_2, Orig_Signal:NetC501_2, NotProbed,C,CAP,,0,0,Fail
C501:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C502:,    Pin:2, Signal:NetC502_2, Orig_Signal:NetC502_2, NotProbed,C,CAP,,0,0,Fail
C502:,    Pin:1, Signal:NetC502_1, Orig_Signal:NetC502_1, NotProbed,C,CAP,,0,0,Fail
C503:,    Pin:2, Signal:NetC503_2, Orig_Signal:NetC503_2, NotProbed,C,CAP,,0,0,Fail
C503:,    Pin:1, Signal:NetC503_1, Orig_Signal:NetC503_1, NotProbed,C,CAP,,0,0,Fail
C504:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C504:,    Pin:2, Signal:NetC504_2, Orig_Signal:NetC504_2, NotProbed,C,CAP,50.0,0,0,Fail
C505:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C505:,    Pin:1, Signal:5V, Orig_Signal:5V, Probed,C,CAP,100.0,100, BOTTOM,Pass
C506:,    Pin:2, Signal:NetC506_2, Orig_Signal:NetC506_2, NotProbed,C,CAP,,0,0,Fail
C506:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C507:,    Pin:2, Signal:NetC506_2, Orig_Signal:NetC506_2, NotProbed,C,CAP,,0,0,Fail
C507:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C508:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C508:,    Pin:1, Signal:5V, Orig_Signal:5V, Probed,C,CAP,100.0,100, BOTTOM,Pass
C509:,    Pin:1, Signal:ID1, Orig_Signal:ID1, Probed,C,CAP,,100, BOTTOM,Fail
C509:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C510:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C510:,    Pin:1, Signal:ID2, Orig_Signal:ID2, Probed,C,CAP,100.0,100, BOTTOM,Pass
C511:,    Pin:1, Signal:NetC511_1, Orig_Signal:NetC511_1, NotProbed,C,CAP,,0,0,Fail
C511:,    Pin:2, Signal:NetC511_2, Orig_Signal:NetC511_2, NotProbed,C,CAP,,0,0,Fail
C512:,    Pin:2, Signal:NetC511_2, Orig_Signal:NetC511_2, NotProbed,C,CAP,,0,0,Fail
C512:,    Pin:1, Signal:NetC512_1, Orig_Signal:NetC512_1, NotProbed,C,CAP,,0,0,Fail
C513:,    Pin:2, Signal:NetC511_1, Orig_Signal:NetC511_1, NotProbed,C,CAP,,0,0,Fail
C513:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C514:,    Pin:2, Signal:NetC512_1, Orig_Signal:NetC512_1, NotProbed,C,CAP,,0,0,Fail
C514:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,50.0,100, BOTTOM,Fail
C515:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C515:,    Pin:2, Signal:NetC515_2, Orig_Signal:NetC515_2, NotProbed,C,CAP,50.0,0,0,Fail
C516:,    Pin:2, Signal:5V, Orig_Signal:5V, Probed,C,CAP,,100, BOTTOM,Fail
C516:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed,C,CAP,100.0,100, BOTTOM,Pass
C517:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C517:,    Pin:1, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,100.0,100, TOP,Pass
C518:,    Pin:1, Signal:NetC518_1, Orig_Signal:NetC518_1, NotProbed,C,CAP,,0,0,Fail
C518:,    Pin:2, Signal:NetC518_2, Orig_Signal:NetC518_2, NotProbed,C,CAP,,0,0,Fail
C519:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed,C,CAP,,100, BOTTOM,Fail
C519:,    Pin:1, Signal:3_3V, Orig_Signal:3.3V, Probed,C,CAP,100.0,100, TOP,Pass
