ID,PIN,Signal,Signal,Probe
L603:,    Pin:1, Signal:L2_N_1, Orig_Signal:L2/N-1, Probed
L603:,    Pin:2, Signal:NetC602_1, Orig_Signal:NetC602_1, Probed
L602:,    Pin:1, Signal:L1_1, Orig_Signal:L1-1, Probed
L602:,    Pin:2, Signal:NetC602_2, Orig_Signal:NetC602_2, Probed
U201:,    Pin:1, Signal:UNCONNECTED_1, Orig_Signal:UNCONNECTED_1, NotProbed
U201:,    Pin:2, Signal:UNCONNECTED_2, Orig_Signal:UNCONNECTED_2, NotProbed
U201:,    Pin:3, Signal:NetTP213_1, Orig_Signal:NetTP213_1, Probed
U201:,    Pin:4, Signal:NetR203_2, Orig_Signal:NetR203_2, Probed
U201:,    Pin:5, Signal:NetTP216_1, Orig_Signal:NetTP216_1, Probed
U201:,    Pin:6, Signal:NetR202_1, Orig_Signal:NetR202_1, Probed
U201:,    Pin:7, Signal:GND, Orig_Signal:GND, Probed
U201:,    Pin:8, Signal:NetC201_1, Orig_Signal:NetC201_1, Probed
U201:,    Pin:9, Signal:NetTP223_1, Orig_Signal:NetTP223_1, Probed
U201:,    Pin:10, Signal:UNCONNECTED_3, Orig_Signal:UNCONNECTED_3, Probed
U201:,    Pin:11, Signal:L2_N_2, Orig_Signal:L2/N-2, NotProbed
U201:,    Pin:12, Signal:L2_N_3, Orig_Signal:L2/N-3, NotProbed
U201:,    Pin:13, Signal:L2_N_2, Orig_Signal:L2/N-2, NotProbed
U201:,    Pin:14, Signal:L2_N_3, Orig_Signal:L2/N-3, NotProbed
U201:,    Pin:15, Signal:L1_3, Orig_Signal:L1-3, Probed
U201:,    Pin:16, Signal:L1_4, Orig_Signal:L1-4, NotProbed
U201:,    Pin:17, Signal:L1_3, Orig_Signal:L1-3, Probed
U201:,    Pin:18, Signal:L1_4, Orig_Signal:L1-4, NotProbed
J302:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed
J302:,    Pin:2, Signal:UNCONNECTED_4, Orig_Signal:UNCONNECTED_4, Probed
J302:,    Pin:3, Signal:5V, Orig_Signal:5V, Probed
J302:,    Pin:4, Signal:NetJ302_4, Orig_Signal:NetJ302_4, Probed
J302:,    Pin:5, Signal:NetJ302_5, Orig_Signal:NetJ302_5, Probed
J302:,    Pin:6, Signal:UNCONNECTED_5, Orig_Signal:UNCONNECTED_5, Probed
J301:,    Pin:1, Signal:UNCONNECTED_6, Orig_Signal:UNCONNECTED_6, NotProbed
J301:,    Pin:2, Signal:UNCONNECTED_7, Orig_Signal:UNCONNECTED_7, NotProbed
J301:,    Pin:3, Signal:UNCONNECTED_8, Orig_Signal:UNCONNECTED_8, NotProbed
J301:,    Pin:4, Signal:UNCONNECTED_9, Orig_Signal:UNCONNECTED_9, NotProbed
J301:,    Pin:5, Signal:UNCONNECTED_10, Orig_Signal:UNCONNECTED_10, NotProbed
J301:,    Pin:6, Signal:UNCONNECTED_11, Orig_Signal:UNCONNECTED_11, NotProbed
J301:,    Pin:7, Signal:UNCONNECTED_12, Orig_Signal:UNCONNECTED_12, NotProbed
J301:,    Pin:8, Signal:3_3V, Orig_Signal:3.3V, Probed
J301:,    Pin:9, Signal:NetJ301_2, Orig_Signal:NetJ301_2, Probed
J301:,    Pin:10, Signal:NetJ301_3, Orig_Signal:NetJ301_3, Probed
J301:,    Pin:11, Signal:NetJ301_4, Orig_Signal:NetJ301_4, Probed
J301:,    Pin:12, Signal:GND, Orig_Signal:GND, Probed
J301:,    Pin:13, Signal:UNCONNECTED_13, Orig_Signal:UNCONNECTED_13, NotProbed
MH203:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed
MH202:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed
MH201:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed
GFX112:,    Pin:1, Signal:UNCONNECTED_14, Orig_Signal:UNCONNECTED_14, Probed
GFX111:,    Pin:1, Signal:UNCONNECTED_15, Orig_Signal:UNCONNECTED_15, Probed
GFX110:,    Pin:1, Signal:UNCONNECTED_16, Orig_Signal:UNCONNECTED_16, Probed
VR603:,    Pin:1, Signal:GND, Orig_Signal:GND, Probed
VR603:,    Pin:2, Signal:L2_N_1, Orig_Signal:L2/N-1, Probed
VR601:,    Pin:1, Signal:L1_1, Orig_Signal:L1-1, Probed
VR601:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed
VR602:,    Pin:1, Signal:L1_1, Orig_Signal:L1-1, Probed
VR602:,    Pin:2, Signal:L2_N_1, Orig_Signal:L2/N-1, Probed
U601:,    Pin:1, Signal:NetC601_2, Orig_Signal:NetC601_2, Probed
U601:,    Pin:2, Signal:NetC608_1, Orig_Signal:NetC608_1, Probed
U601:,    Pin:3, Signal:NetD601_A, Orig_Signal:NetD601_A, Probed
U601:,    Pin:4, Signal:NetC603_1, Orig_Signal:NetC603_1, Probed
U503:,    Pin:1, Signal:5V, Orig_Signal:5V, Probed
U503:,    Pin:2, Signal:GND, Orig_Signal:GND, Probed
U503:,    Pin:3, Signal:NetC520_1, Orig_Signal:NetC520_1, Probed
U503:,    Pin:4, Signal:L1_3, Orig_Signal:L1-3, Probed
U503:,    Pin:5, Signal:L1_2, Orig_Signal:L1-2, Probed
P206:,    Pin:1, Signal:CANL, Orig_Signal:CANL, Probed
P206:,    Pin:2, Signal:UNCONNECTED_17, Orig_Signal:UNCONNECTED_17, NotProbed
P206:,    Pin:3, Signal:CANL, Orig_Signal:CANL, Probed
P206:,    Pin:4, Signal:UNCONNECTED_18, Orig_Signal:UNCONNECTED_18, NotProbed
P206:,    Pin:5, Signal:CANH, Orig_Signal:CANH, Probed
