Barrel,NO,SIGNAL,X,Y,PIN,PAD,SURFACE,SURFACE1
100, 1, UNCONNECTED_15, 787.3990, 3543.3090, GFX111.1, PADSTACK51, PROBE, TOP
100, 2, NetR502_1, 1448.9590, 301.1000, VIA12.1, PADSTACK16, PROBE, TOP
100, 3, 1_8V, 1617.2700, 865.0000, VIA45.1, PADSTACK16, PROBE, TOP
100, 1.8V
100, 4, N12V_A, 1710.0000, 1383.9000, VIA48.1, PADSTACK16, PROBE, TOP
100, -12V_A
100, 5, RELAY_CTRL_1, 1903.5990, 130.0000, VIA8.1, PADSTACK16, PROBE, TOP
100, 6, NetQ402_D, 2895.0000, 551.0390, VIA50.1, PADSTACK16, PROBE, TOP
100, 7, NetQ502_D, 3190.0000, 3575.0000, VIA23.1, PADSTACK16, PROBE, TOP
100, 8, 3_3V, 3401.4490, 270.0000, VIA42.1, PADSTACK16, PROBE, TOP
100, 3.3V
100, 9, NetQ504_D, 3565.0000, 2848.2290, VIA18.1, PADSTACK16, PROBE, TOP
100, 10, DEBUG_TX, 3769.7600, 3266.6190, VIA34.1, PADSTACK16, PROBE, TOP
100, 11, UNCONNECTED_14, 3779.5300, -826.7690, GFX112.1, PADSTACK51, PROBE, TOP
100, 13, NRST, 4356.1000, -91.0990, VIA9.1, PADSTACK16, PROBE, TOP
100, 14, NetQ503_D, 4371.2590, -307.6390, VIA20.1, PADSTACK16, PROBE, TOP
100, 16, UNCONNECTED_16, 4724.4090, 3543.3090, GFX110.1, PADSTACK51, PROBE, TOP
100, 20, NetJ301_3, 5160.0000, -650.0000, VIA30.1, PADSTACK16, PROBE, TOP
100, 21, NetQ501_D, 5525.0000, -350.0000, VIA27.1, PADSTACK16, PROBE, TOP
100, 22, L1_1, -73.0200, 1859.2090, VR601.1, PADSTACK8, PROBE, BOTTOM
100, L1-1
100, 23, L2_N_1, -72.3200, 1344.2090, VR602.2, PADSTACK8, PROBE, BOTTOM
100, L2/N-1
100, 24, NetC602_2, 253.1100, 2170.0000, L602.2, PADSTACK1, PROBE, BOTTOM
100, 25, GND, 320.6780, 1760.7910, VR601.2, PADSTACK8, PROBE, BOTTOM
100, 26, NetC602_1, 573.4690, 2412.0900, C602.1, PADSTACK14, PROBE, BOTTOM
100, 27, NetC608_1, 1206.5090, 2828.4000, L601.2, PADSTACK13, PROBE, BOTTOM
100, 28, NetC601_2, 1206.5090, 3143.3580, L601.3, PADSTACK13, PROBE, BOTTOM
100, 29, L1_2, 3158.1500, 1457.5190, U503.5, PADSTACK116, PROBE, BOTTOM
